State,Year,Dayweek,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,Age Group,Time of day
NSW,2018,Tuesday,Single,No,No,No,50,Driver,Female,89,Major Cities of Australia,75_or_older,Day
Qld,2018,Tuesday,Single,No,No,No,100,Driver,Male,69,Inner Regional Australia,65_to_74,Day
Vic,2018,Tuesday,Pedestrian,No,No,No,60,Pedestrian,Male,84,Major Cities of Australia,75_or_older,Day
NSW,2018,Monday,Multiple,No,No,No,110,Passenger,Male,28,Remote Australia,26_to_39,Night
NSW,2018,Monday,Pedestrian,No,No,No,60,Pedestrian,Male,65,Major Cities of Australia,65_to_74,Day
SA,2018,Monday,Multiple,No,No,No,60,Driver,Male,81,Major Cities of Australia,75_or_older,Day
Vic,2018,Monday,Single,No,No,No,100,Driver,Female,60,Inner Regional Australia,40_to_64,Day
NSW,2018,Sunday,Pedestrian,No,No,No,50,Pedestrian,Female,70,Major Cities of Australia,65_to_74,Night
Qld,2018,Sunday,Single,No,No,No,50,Motorcycle rider,Male,17,Major Cities of Australia,17_to_25,Night
Vic,2018,Sunday,Single,No,No,No,80,Motorcycle rider,Male,32,Major Cities of Australia,26_to_39,Night
NSW,2018,Saturday,Pedestrian,No,No,No,100,Pedestrian,Male,71,Major Cities of Australia,65_to_74,Day
SA,2018,Saturday,Multiple,No,No,No,60,Motorcycle rider,Male,57,Major Cities of Australia,40_to_64,Day
Qld,2018,Friday,Single,No,No,No,80,Passenger,Male,22,Inner Regional Australia,17_to_25,Night
Vic,2018,Friday,Multiple,No,No,No,100,Driver,Female,55,Inner Regional Australia,40_to_64,Day
NSW,2018,Thursday,Multiple,No,No,No,60,Driver,Male,73,Major Cities of Australia,65_to_74,Day
SA,2018,Thursday,Pedestrian,No,No,No,25,Pedestrian,Male,46,Major Cities of Australia,40_to_64,Night
WA,2018,Thursday,Multiple,No,No,No,60,Motorcycle rider,Female,26,Major Cities of Australia,26_to_39,Day
WA,2018,Thursday,Multiple,No,No,No,60,Passenger,Female,87,Major Cities of Australia,75_or_older,Night
NSW,2018,Wednesday,Single,No,No,No,60,Motorcycle rider,Male,34,Inner Regional Australia,26_to_39,Day
NSW,2018,Wednesday,Single,No,No,No,100,Motorcycle rider,Male,24,Outer Regional Australia,17_to_25,Day
NSW,2018,Sunday,Pedestrian,No,No,No,70,Pedestrian,Male,48,Major Cities of Australia,40_to_64,Night
NSW,2018,Sunday,Pedestrian,No,No,No,70,Pedestrian,Male,26,Major Cities of Australia,26_to_39,Night
NSW,2018,Sunday,Multiple,No,No,No,90,Passenger,Male,95,Major Cities of Australia,75_or_older,Day
Qld,2018,Sunday,Multiple,No,No,Yes,100,Motorcycle rider,Male,27,Inner Regional Australia,26_to_39,Night
Vic,2018,Sunday,Multiple,No,No,No,80,Passenger,Male,4,Major Cities of Australia,0_to_16,Night
Vic,2018,Sunday,Multiple,No,No,No,80,Passenger,Female,10,Major Cities of Australia,0_to_16,Night
Vic,2018,Sunday,Pedestrian,No,No,No,50,Pedestrian,Male,53,Inner Regional Australia,40_to_64,Day
Qld,2018,Saturday,Single,No,No,No,100,Driver,Male,20,Remote Australia,17_to_25,Night
WA,2018,Saturday,Multiple,No,Yes,No,70,Passenger,Female,45,Major Cities of Australia,40_to_64,Day
NSW,2018,Friday,Multiple,No,No,Yes,100,Driver,Male,35,Inner Regional Australia,26_to_39,Night
NSW,2018,Friday,Single,No,No,No,110,Driver,Male,57,Remote Australia,40_to_64,Day
NSW,2018,Friday,Pedestrian,No,No,Yes,50,Pedestrian,Female,68,Major Cities of Australia,65_to_74,Day
Qld,2018,Friday,Single,No,No,No,100,Passenger,Male,28,Inner Regional Australia,26_to_39,Day
Qld,2018,Friday,Single,No,No,No,100,Passenger,Female,26,Inner Regional Australia,26_to_39,Day
Qld,2018,Friday,Multiple,No,No,No,100,Driver,Male,80,Outer Regional Australia,75_or_older,Day
NSW,2018,Thursday,Pedestrian,No,No,No,60,Pedestrian,Male,55,Major Cities of Australia,40_to_64,Day
Qld,2018,Thursday,Multiple,No,No,No,60,Passenger,Male,43,Major Cities of Australia,40_to_64,Day
Qld,2018,Thursday,Single,No,No,No,100,Driver,Female,71,Remote Australia,65_to_74,Day
Vic,2018,Thursday,Multiple,No,No,No,110,Driver,Male,49,Inner Regional Australia,40_to_64,Day
Qld,2018,Wednesday,Single,No,No,No,100,Driver,Male,37,Outer Regional Australia,26_to_39,Day
Qld,2018,Tuesday,Single,No,No,No,60,Motorcycle rider,Female,30,Inner Regional Australia,26_to_39,Day
Qld,2018,Tuesday,Pedestrian,No,No,No,60,Pedestrian,Female,62,Major Cities of Australia,40_to_64,Day
Qld,2018,Tuesday,Single,No,No,No,100,Motorcycle rider,Male,49,Very Remote Australia,40_to_64,Day
NSW,2018,Monday,Single,No,No,No,100,Passenger,Female,33,Outer Regional Australia,26_to_39,Night
Qld,2018,Monday,Single,No,No,No,80,Driver,Male,50,Inner Regional Australia,40_to_64,Day
NT,2018,Sunday,Pedestrian,No,No,No,100,Pedestrian,Female,41,Outer Regional Australia,40_to_64,Night
Qld,2018,Sunday,Multiple,No,No,No,60,Driver,Female,33,Major Cities of Australia,26_to_39,Night
Qld,2018,Sunday,Multiple,No,No,No,60,Passenger,Male,41,Major Cities of Australia,40_to_64,Night
Tas,2018,Sunday,Multiple,No,No,No,50,Driver,Male,73,Outer Regional Australia,65_to_74,Day
NSW,2018,Saturday,Multiple,No,No,No,60,Driver,Female,22,Inner Regional Australia,17_to_25,Day
WA,2018,Friday,Single,No,No,No,100,Driver,Male,49,Inner Regional Australia,40_to_64,Day
NSW,2018,Thursday,Pedestrian,No,No,No,60,Pedestrian,Male,72,Major Cities of Australia,65_to_74,Day
Qld,2018,Thursday,Multiple,No,No,Yes,100,Passenger,Female,24,Outer Regional Australia,17_to_25,Day
Qld,2018,Thursday,Multiple,No,No,Yes,100,Driver,Male,22,Outer Regional Australia,17_to_25,Day
NSW,2018,Wednesday,Single,No,No,No,80,Driver,Female,35,Inner Regional Australia,26_to_39,Day
Qld,2018,Wednesday,Multiple,No,No,No,100,Driver,Male,60,Outer Regional Australia,40_to_64,Day
Vic,2018,Wednesday,Multiple,No,No,Yes,100,Driver,Male,36,Inner Regional Australia,26_to_39,Day
Vic,2018,Wednesday,Multiple,No,No,No,50,Driver,Female,79,Major Cities of Australia,75_or_older,Night
NSW,2018,Tuesday,Pedestrian,No,No,No,70,Pedestrian,Male,54,Major Cities of Australia,40_to_64,Night
NSW,2018,Tuesday,Single,No,No,No,110,Driver,Male,33,Inner Regional Australia,26_to_39,Day
Qld,2018,Tuesday,Single,No,No,No,70,Driver,Female,36,Inner Regional Australia,26_to_39,Day
NSW,2018,Monday,Pedestrian,No,No,No,50,Pedestrian,Male,82,Major Cities of Australia,75_or_older,Day
NSW,2018,Sunday,Multiple,No,No,No,60,Motorcycle rider,Male,35,Inner Regional Australia,26_to_39,Day
NSW,2018,Sunday,Multiple,No,No,No,100,Motorcycle rider,Male,59,Outer Regional Australia,40_to_64,Day
Qld,2018,Sunday,Multiple,No,No,No,80,Driver,Male,44,Inner Regional Australia,40_to_64,Day
SA,2018,Sunday,Single,No,No,No,50,Motorcycle rider,Male,19,Major Cities of Australia,17_to_25,Night
SA,2018,Sunday,Single,No,No,No,80,Driver,Male,42,Inner Regional Australia,40_to_64,Night
NSW,2018,Saturday,Multiple,No,No,No,100,Pedal cyclist,Male,72,Outer Regional Australia,65_to_74,Day
SA,2018,Saturday,Single,No,No,No,100,Driver,Male,20,Outer Regional Australia,17_to_25,Night
WA,2018,Saturday,Single,No,No,No,110,Driver,Male,25,Outer Regional Australia,17_to_25,Night
Qld,2018,Friday,Single,No,No,No,70,Driver,Male,24,Major Cities of Australia,17_to_25,Night
NSW,2018,Thursday,Pedestrian,No,No,No,50,Pedestrian,Male,77,Major Cities of Australia,75_or_older,Night
Qld,2018,Thursday,Single,No,No,No,100,Driver,Male,19,Outer Regional Australia,17_to_25,Night
NSW,2018,Wednesday,Single,No,No,No,100,Motorcycle rider,Male,71,Inner Regional Australia,65_to_74,Day
NT,2018,Wednesday,Pedestrian,No,No,No,70,Pedestrian,Female,59,Remote Australia,40_to_64,Night
Tas,2018,Monday,Multiple,No,No,Yes,110,Driver,Male,57,Outer Regional Australia,40_to_64,Day
NSW,2018,Sunday,Single,No,No,No,100,Driver,Male,47,Outer Regional Australia,40_to_64,Night
Qld,2018,Sunday,Pedestrian,No,No,No,50,Pedestrian,Male,39,Major Cities of Australia,26_to_39,Day
WA,2018,Sunday,Single,No,No,No,110,Driver,Male,30,Outer Regional Australia,26_to_39,Day
NSW,2018,Saturday,Single,No,No,No,80,Driver,Male,69,Major Cities of Australia,65_to_74,Night
Qld,2018,Saturday,Single,No,No,No,100,Driver,Male,25,Inner Regional Australia,17_to_25,Night
Qld,2018,Saturday,Single,No,No,No,100,Passenger,Male,26,Inner Regional Australia,26_to_39,Night
Qld,2018,Saturday,Single,No,No,No,100,Motorcycle rider,Male,32,Inner Regional Australia,26_to_39,Day
Vic,2018,Saturday,Pedestrian,No,No,No,60,Pedestrian,Male,80,Major Cities of Australia,75_or_older,Day
Qld,2018,Friday,Multiple,No,Yes,No,60,Motorcycle rider,Male,22,Major Cities of Australia,17_to_25,Night
Qld,2018,Friday,Single,No,No,No,80,Motorcycle rider,Male,40,Major Cities of Australia,40_to_64,Day
NSW,2018,Thursday,Multiple,No,No,Yes,100,Pedal cyclist,Male,50,Inner Regional Australia,40_to_64,Day
NT,2018,Thursday,Pedestrian,No,No,No,110,Pedestrian,Male,32,Very Remote Australia,26_to_39,Night
Qld,2018,Thursday,Pedestrian,No,No,No,70,Pedestrian,Female,67,Major Cities of Australia,65_to_74,Day
Vic,2018,Thursday,Multiple,No,No,No,100,Driver,Male,39,Inner Regional Australia,26_to_39,Day
Qld,2018,Wednesday,Multiple,No,Yes,No,60,Motorcycle rider,Male,47,Major Cities of Australia,40_to_64,Day
Vic,2018,Wednesday,Multiple,Yes,No,No,100,Driver,Male,34,Inner Regional Australia,26_to_39,Day
WA,2018,Wednesday,Pedestrian,No,No,No,60,Pedestrian,Male,21,Major Cities of Australia,17_to_25,Day
WA,2018,Wednesday,Multiple,No,No,No,60,Driver,Female,91,Major Cities of Australia,75_or_older,Day
NSW,2018,Monday,Multiple,Yes,No,No,60,Driver,Male,31,Major Cities of Australia,26_to_39,Day
Vic,2018,Monday,Multiple,No,No,No,100,Motorcycle rider,Male,56,Inner Regional Australia,40_to_64,Day
Vic,2018,Monday,Multiple,No,Yes,No,100,Pedal cyclist,Male,61,Major Cities of Australia,40_to_64,Day
WA,2018,Monday,Single,No,No,No,110,Passenger,Male,76,Inner Regional Australia,75_or_older,Day
NSW,2018,Sunday,Single,No,No,No,100,Passenger,Male,40,Inner Regional Australia,40_to_64,Day
Qld,2018,Sunday,Single,No,No,No,80,Motorcycle rider,Male,50,Inner Regional Australia,40_to_64,Day
Qld,2018,Sunday,Multiple,No,No,Yes,60,Driver,Female,50,Inner Regional Australia,40_to_64,Day
Qld,2018,Sunday,Multiple,No,No,No,80,Driver,Male,67,Inner Regional Australia,65_to_74,Day
Vic,2018,Sunday,Single,No,No,No,100,Driver,Male,52,Inner Regional Australia,40_to_64,Night
WA,2018,Sunday,Single,No,No,No,60,Driver,Male,26,Major Cities of Australia,26_to_39,Night
Qld,2018,Saturday,Pedestrian,No,No,No,50,Pedestrian,Male,20,Very Remote Australia,17_to_25,Night
WA,2018,Saturday,Single,No,No,No,70,Driver,Male,46,Major Cities of Australia,40_to_64,Night
NSW,2018,Friday,Multiple,No,No,No,80,Driver,Male,65,Major Cities of Australia,65_to_74,Day
Vic,2018,Friday,Pedestrian,No,No,No,70,Pedestrian,Male,24,Major Cities of Australia,17_to_25,Night
Vic,2018,Friday,Pedestrian,No,No,No,60,Pedestrian,Male,69,Major Cities of Australia,65_to_74,Day
NT,2018,Thursday,Single,No,No,No,110,Driver,Male,33,Remote Australia,26_to_39,Night
Qld,2018,Thursday,Multiple,No,No,Yes,100,Driver,Male,34,Remote Australia,26_to_39,Day
NSW,2018,Wednesday,Multiple,No,No,No,90,Driver,Male,22,Inner Regional Australia,17_to_25,Day
NSW,2018,Wednesday,Pedestrian,No,No,No,60,Pedestrian,Male,67,Major Cities of Australia,65_to_74,Day
NT,2018,Wednesday,Pedestrian,No,No,No,50,Pedestrian,Female,55,Outer Regional Australia,40_to_64,Night
Vic,2018,Wednesday,Multiple,No,No,No,100,Driver,Male,29,Inner Regional Australia,26_to_39,Day
Qld,2018,Tuesday,Pedestrian,No,No,No,60,Pedestrian,Female,33,Major Cities of Australia,26_to_39,Day
SA,2018,Tuesday,Single,No,No,No,110,Passenger,Male,32,Very Remote Australia,26_to_39,Day
NT,2018,Monday,Pedestrian,No,No,No,60,Pedestrian,Male,62,Remote Australia,40_to_64,Night
NSW,2018,Sunday,Multiple,No,No,No,100,Pedal cyclist,Female,55,Inner Regional Australia,40_to_64,Day
NSW,2018,Sunday,Single,No,No,No,100,Driver,Male,78,Outer Regional Australia,75_or_older,Day
Qld,2018,Sunday,Multiple,No,No,No,100,Passenger,Male,61,Major Cities of Australia,40_to_64,Night
WA,2018,Sunday,Multiple,No,No,Yes,110,Pedal cyclist,Male,36,Inner Regional Australia,26_to_39,Day
Qld,2018,Saturday,Multiple,No,No,No,110,Passenger,Female,32,Major Cities of Australia,26_to_39,Night
SA,2018,Saturday,Single,No,No,No,100,Passenger,Male,50,Inner Regional Australia,40_to_64,Day
NSW,2018,Wednesday,Pedestrian,No,No,No,50,Pedestrian,Male,73,Major Cities of Australia,65_to_74,Night
Qld,2018,Wednesday,Multiple,No,No,Yes,100,Driver,Male,75,Inner Regional Australia,75_or_older,Day
SA,2018,Wednesday,Single,No,No,No,10,Pedal cyclist,Male,41,Inner Regional Australia,40_to_64,Night
NSW,2018,Tuesday,Multiple,No,Yes,No,60,Driver,Female,43,Inner Regional Australia,40_to_64,Day
NT,2018,Tuesday,Multiple,No,No,No,130,Driver,Male,86,Remote Australia,75_or_older,Day
SA,2018,Tuesday,Single,No,No,No,100,Driver,Male,22,Inner Regional Australia,17_to_25,Day
NSW,2018,Monday,Multiple,No,No,No,60,Driver,Male,51,Major Cities of Australia,40_to_64,Night
Qld,2018,Monday,Multiple,No,Yes,No,100,Driver,Male,23,Outer Regional Australia,17_to_25,Day
SA,2018,Monday,Multiple,No,No,No,110,Driver,Male,58,Outer Regional Australia,40_to_64,Night
NSW,2018,Sunday,Multiple,No,No,No,100,Driver,Male,67,Inner Regional Australia,65_to_74,Day
WA,2018,Sunday,Pedestrian,No,No,No,50,Pedestrian,Male,84,Major Cities of Australia,75_or_older,Day
NSW,2018,Saturday,Single,No,No,Yes,100,Passenger,Male,64,Outer Regional Australia,40_to_64,Day
Qld,2018,Saturday,Single,No,No,No,100,Driver,Female,46,Outer Regional Australia,40_to_64,Day
Vic,2018,Saturday,Single,No,No,Yes,100,Driver,Male,50,Inner Regional Australia,40_to_64,Night
NSW,2018,Friday,Pedestrian,No,No,No,50,Pedestrian,Male,27,Inner Regional Australia,26_to_39,Night
NSW,2018,Friday,Multiple,No,No,No,100,Passenger,Female,34,Major Cities of Australia,26_to_39,Day
NSW,2018,Friday,Multiple,No,No,No,100,Passenger,Female,36,Major Cities of Australia,26_to_39,Day
NT,2018,Friday,Single,No,No,No,110,Motorcycle rider,Male,42,Outer Regional Australia,40_to_64,Night
Vic,2018,Friday,Multiple,No,No,Yes,100,Driver,Male,57,Inner Regional Australia,40_to_64,Day
WA,2018,Friday,Single,No,Yes,No,110,Driver,Male,48,Outer Regional Australia,40_to_64,Day
Vic,2018,Thursday,Single,No,No,No,100,Driver,Male,46,Inner Regional Australia,40_to_64,Day
NSW,2018,Tuesday,Single,No,No,No,100,Driver,Male,43,Inner Regional Australia,40_to_64,Day
NSW,2018,Tuesday,Multiple,No,Yes,No,60,Driver,Male,78,Inner Regional Australia,75_or_older,Day
NSW,2018,Tuesday,Multiple,No,No,No,100,Driver,Male,75,Inner Regional Australia,75_or_older,Day
Qld,2018,Tuesday,Pedestrian,Yes,No,No,60,Pedestrian,Female,51,Major Cities of Australia,40_to_64,Day
NSW,2018,Monday,Pedestrian,No,Yes,No,40,Pedestrian,Male,31,Major Cities of Australia,26_to_39,Day
Qld,2018,Monday,Pedestrian,No,No,Yes,80,Pedestrian,Female,84,Remote Australia,75_or_older,Day
Vic,2018,Monday,Single,No,No,No,70,Driver,Male,23,Major Cities of Australia,17_to_25,Day
Vic,2018,Monday,Pedestrian,No,No,No,60,Pedestrian,Male,83,Inner Regional Australia,75_or_older,Day
NSW,2018,Sunday,Pedestrian,Yes,No,No,60,Pedestrian,Male,81,Major Cities of Australia,75_or_older,Day
NT,2018,Sunday,Single,No,No,No,100,Motorcycle rider,Male,28,Outer Regional Australia,26_to_39,Night
Qld,2018,Sunday,Multiple,No,No,No,60,Passenger,Male,15,Major Cities of Australia,0_to_16,Day
NSW,2018,Saturday,Single,No,No,No,50,Driver,Male,37,Major Cities of Australia,26_to_39,Night
Qld,2018,Saturday,Single,No,No,No,100,Passenger,Male,64,Very Remote Australia,40_to_64,Night
Qld,2018,Saturday,Single,No,No,No,110,Driver,Male,17,Outer Regional Australia,17_to_25,Day
SA,2018,Saturday,Single,No,No,No,80,Driver,Male,23,Major Cities of Australia,17_to_25,Night
NSW,2018,Friday,Single,No,No,No,110,Driver,Male,65,Inner Regional Australia,65_to_74,Day
NSW,2018,Wednesday,Single,No,No,No,60,Driver,Male,19,Major Cities of Australia,17_to_25,Night
Vic,2018,Wednesday,Single,No,No,No,100,Driver,Male,30,Inner Regional Australia,26_to_39,Night
Vic,2018,Wednesday,Pedestrian,No,Yes,No,80,Pedestrian,Female,14,Major Cities of Australia,0_to_16,Day
Qld,2018,Tuesday,Multiple,No,No,No,80,Driver,Male,22,Major Cities of Australia,17_to_25,Day
Vic,2018,Tuesday,Multiple,No,Yes,No,100,Driver,Male,78,Major Cities of Australia,75_or_older,Day
NSW,2018,Monday,Single,No,No,No,100,Driver,Male,74,Outer Regional Australia,65_to_74,Day
SA,2018,Monday,Multiple,No,No,No,110,Pedal cyclist,Male,66,Outer Regional Australia,65_to_74,Day
ACT,2018,Sunday,Single,No,No,No,60,Motorcycle rider,Male,49,Major Cities of Australia,40_to_64,Night
NSW,2018,Sunday,Single,No,No,No,100,Driver,Male,18,Outer Regional Australia,17_to_25,Night
SA,2018,Sunday,Single,No,No,No,100,Passenger,Female,15,Outer Regional Australia,0_to_16,Day
Tas,2018,Sunday,Multiple,No,No,No,100,Driver,Male,28,Outer Regional Australia,26_to_39,Day
NSW,2018,Friday,Single,No,No,No,100,Driver,Male,22,Outer Regional Australia,17_to_25,Night
NSW,2018,Friday,Pedestrian,No,No,No,50,Pedestrian,Female,33,Very Remote Australia,26_to_39,Night
NSW,2018,Thursday,Multiple,No,No,No,50,Pedal cyclist,Male,77,Inner Regional Australia,75_or_older,Day
Vic,2018,Thursday,Single,No,No,No,80,Motorcycle rider,Male,19,Major Cities of Australia,17_to_25,Night
Vic,2018,Thursday,Multiple,No,No,No,60,Driver,Male,83,Inner Regional Australia,75_or_older,Day
Vic,2018,Wednesday,Multiple,No,No,No,100,Driver,Male,57,Inner Regional Australia,40_to_64,Day
Vic,2018,Wednesday,Pedestrian,No,No,No,40,Pedestrian,Male,78,Inner Regional Australia,75_or_older,Day
WA,2018,Wednesday,Single,No,No,No,110,Driver,Male,31,Inner Regional Australia,26_to_39,Day
NSW,2018,Tuesday,Single,No,No,No,50,Driver,Male,92,Inner Regional Australia,75_or_older,Day
WA,2018,Tuesday,Multiple,No,No,No,50,Pedal cyclist,Male,75,Major Cities of Australia,75_or_older,Day
NSW,2018,Monday,Multiple,No,No,No,100,Motorcycle rider,Male,41,Inner Regional Australia,40_to_64,Day
Qld,2018,Monday,Single,No,No,No,100,Driver,Male,22,Outer Regional Australia,17_to_25,Night
SA,2018,Monday,Pedestrian,No,No,No,60,Pedestrian,Male,8,Outer Regional Australia,0_to_16,Night
Qld,2018,Sunday,Pedestrian,No,No,No,80,Pedestrian,Male,18,Inner Regional Australia,17_to_25,Night
Vic,2018,Sunday,Single,No,No,No,100,Driver,Male,24,Inner Regional Australia,17_to_25,Night
Vic,2018,Sunday,Pedestrian,No,No,No,60,Pedestrian,Male,61,Major Cities of Australia,40_to_64,Day
WA,2018,Sunday,Single,No,No,No,110,Passenger,Female,33,Outer Regional Australia,26_to_39,Day
NSW,2018,Saturday,Single,No,No,No,100,Motorcycle rider,Male,62,Remote Australia,40_to_64,Day
NT,2018,Saturday,Single,No,No,No,100,Motorcycle rider,Male,58,Very Remote Australia,40_to_64,Day
Vic,2018,Saturday,Single,No,No,No,80,Passenger,Female,41,Inner Regional Australia,40_to_64,Night
Vic,2018,Saturday,Single,No,No,No,80,Driver,Male,34,Outer Regional Australia,26_to_39,Night
Vic,2018,Saturday,Multiple,Yes,No,No,50,Motorcycle rider,Male,58,Major Cities of Australia,40_to_64,Day
Vic,2018,Saturday,Multiple,No,No,No,80,Passenger,Female,64,Outer Regional Australia,40_to_64,Night
Vic,2018,Saturday,Multiple,No,No,No,80,Passenger,Female,71,Outer Regional Australia,65_to_74,Night
Vic,2018,Saturday,Multiple,No,No,No,80,Passenger,Female,74,Outer Regional Australia,65_to_74,Night
Vic,2018,Saturday,Multiple,No,No,No,80,Driver,Female,75,Outer Regional Australia,75_or_older,Night
WA,2018,Saturday,Single,No,No,No,110,Driver,Male,44,Inner Regional Australia,40_to_64,Night
ACT,2018,Friday,Multiple,No,No,No,60,Driver,Female,54,Major Cities of Australia,40_to_64,Night
Tas,2018,Friday,Single,No,No,No,110,Driver,Male,25,Inner Regional Australia,17_to_25,Night
NSW,2018,Thursday,Pedestrian,No,No,No,70,Pedestrian,Female,85,Major Cities of Australia,75_or_older,Day
Qld,2018,Thursday,Multiple,No,Yes,No,70,Driver,Male,25,Major Cities of Australia,17_to_25,Day
WA,2018,Thursday,Multiple,No,No,No,70,Motorcycle rider,Male,37,Major Cities of Australia,26_to_39,Day
NT,2018,Wednesday,Single,No,No,No,110,Passenger,Female,47,Very Remote Australia,40_to_64,Night
Qld,2018,Wednesday,Single,No,No,No,100,Driver,Female,81,Inner Regional Australia,75_or_older,Day
Vic,2018,Wednesday,Multiple,No,No,No,80,Motorcycle rider,Male,32,Major Cities of Australia,26_to_39,Night
Qld,2018,Tuesday,Single,No,No,No,50,Motorcycle rider,Male,25,Outer Regional Australia,17_to_25,Night
Vic,2018,Tuesday,Multiple,No,Yes,No,80,Motorcycle rider,Male,54,Inner Regional Australia,40_to_64,Day
WA,2018,Tuesday,Single,No,No,No,60,Driver,Male,43,Inner Regional Australia,40_to_64,Night
WA,2018,Tuesday,Single,No,No,No,100,Driver,Male,26,Outer Regional Australia,26_to_39,Night
Qld,2018,Monday,Pedestrian,No,No,No,80,Pedestrian,Male,33,Major Cities of Australia,26_to_39,Night
SA,2018,Monday,Multiple,No,Yes,Yes,110,Driver,Male,36,Outer Regional Australia,26_to_39,Night
NSW,2018,Sunday,Multiple,No,No,No,100,Passenger,Female,68,Inner Regional Australia,65_to_74,Night
NSW,2018,Sunday,Multiple,No,No,No,100,Driver,Male,70,Inner Regional Australia,65_to_74,Night
Vic,2018,Sunday,Pedestrian,No,No,No,60,Pedestrian,Female,68,Major Cities of Australia,65_to_74,Day
WA,2018,Sunday,Single,No,No,No,110,Motorcycle rider,Male,64,Inner Regional Australia,40_to_64,Day
NSW,2018,Saturday,Multiple,No,No,No,60,Passenger,Male,94,Major Cities of Australia,75_or_older,Day
WA,2018,Saturday,Single,No,No,No,110,Passenger,Male,19,Remote Australia,17_to_25,Night
WA,2018,Saturday,Single,No,No,No,110,Driver,Male,27,Remote Australia,26_to_39,Night
NSW,2018,Friday,Multiple,No,No,No,80,Driver,Female,19,Inner Regional Australia,17_to_25,Day
NSW,2018,Friday,Pedestrian,No,No,No,50,Pedestrian,Male,85,Major Cities of Australia,75_or_older,Day
SA,2018,Friday,Multiple,No,No,No,100,Passenger,Female,70,Remote Australia,65_to_74,Day
WA,2018,Friday,Single,No,No,No,110,Driver,Male,28,Outer Regional Australia,26_to_39,Night
Qld,2018,Wednesday,Single,No,No,No,100,Driver,Male,19,Remote Australia,17_to_25,Night
Vic,2018,Wednesday,Multiple,No,No,No,100,Motorcycle rider,Male,51,Inner Regional Australia,40_to_64,Day
WA,2018,Wednesday,Multiple,No,No,No,60,Motorcycle rider,Male,25,Major Cities of Australia,17_to_25,Day
WA,2018,Wednesday,Single,No,No,No,50,Passenger,Male,23,Inner Regional Australia,17_to_25,Night
NSW,2018,Tuesday,Single,No,No,No,110,Motorcycle rider,Male,38,Major Cities of Australia,26_to_39,Night
Qld,2018,Monday,Multiple,No,No,No,100,Driver,Female,63,Inner Regional Australia,40_to_64,Day
Qld,2018,Monday,Pedestrian,No,No,No,60,Pedestrian,Male,59,Major Cities of Australia,40_to_64,Day
SA,2018,Monday,Multiple,No,No,No,110,Passenger,Female,26,Very Remote Australia,26_to_39,Night
Vic,2018,Monday,Single,No,No,No,110,Driver,Male,40,Inner Regional Australia,40_to_64,Day
Vic,2018,Monday,Multiple,No,No,No,50,Driver,Male,89,Major Cities of Australia,75_or_older,Day
NSW,2018,Sunday,Single,No,No,No,50,Driver,Male,24,Inner Regional Australia,17_to_25,Night
NSW,2018,Sunday,Single,No,No,No,50,Passenger,Male,24,Inner Regional Australia,17_to_25,Night
NSW,2018,Sunday,Single,No,No,No,100,Motorcycle rider,Male,62,Very Remote Australia,40_to_64,Day
Qld,2018,Sunday,Single,No,No,No,70,Motorcycle rider,Male,31,Major Cities of Australia,26_to_39,Day
SA,2018,Sunday,Single,No,No,No,100,Driver,Female,52,Inner Regional Australia,40_to_64,Day
Tas,2018,Sunday,Multiple,No,No,No,50,Motorcycle rider,Male,20,Inner Regional Australia,17_to_25,Night
WA,2018,Sunday,Multiple,No,No,No,110,Motorcycle rider,Male,59,Very Remote Australia,40_to_64,Day
NSW,2018,Saturday,Single,No,No,No,50,Driver,Male,24,Major Cities of Australia,17_to_25,Night
Qld,2018,Saturday,Single,No,No,No,110,Passenger,Male,16,Outer Regional Australia,0_to_16,Night
Qld,2018,Saturday,Single,No,No,No,110,Driver,Male,17,Outer Regional Australia,17_to_25,Night
Vic,2018,Saturday,Multiple,No,No,No,80,Passenger,Male,38,Major Cities of Australia,26_to_39,Night
Vic,2018,Saturday,Multiple,No,No,No,80,Driver,Female,32,Major Cities of Australia,26_to_39,Night
NSW,2018,Friday,Single,No,No,No,100,Driver,Male,43,Outer Regional Australia,40_to_64,Night
Qld,2018,Friday,Single,No,No,No,80,Driver,Male,72,Inner Regional Australia,65_to_74,Day
WA,2018,Friday,Single,No,No,No,100,Passenger,Male,0,Major Cities of Australia,0_to_16,Night
WA,2018,Friday,Multiple,No,No,No,60,Motorcycle rider,Male,62,Major Cities of Australia,40_to_64,Day
NSW,2018,Thursday,Multiple,No,Yes,No,60,Driver,Male,17,Major Cities of Australia,17_to_25,Night
NSW,2018,Thursday,Pedestrian,No,No,No,100,Pedestrian,Male,82,Major Cities of Australia,75_or_older,Day
WA,2018,Thursday,Multiple,No,No,No,80,Passenger,Female,51,Major Cities of Australia,40_to_64,Day
NSW,2018,Wednesday,Multiple,No,No,Yes,60,Driver,Male,48,Inner Regional Australia,40_to_64,Day
NSW,2018,Wednesday,Single,No,No,No,100,Motorcycle rider,Male,67,Outer Regional Australia,65_to_74,Day
Vic,2018,Wednesday,Pedestrian,No,No,No,50,Pedestrian,Female,92,Major Cities of Australia,75_or_older,Night
