State,Year,Dayweek,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,Age Group,Time of day
NSW,2020,Monday,Single,No,No,No,90,Driver,Male,33,Inner Regional Australia,26_to_39,Day
Vic,2020,Tuesday,Single,No,No,No,100,Driver,Male,31,Inner Regional Australia,26_to_39,Day
NSW,2020,Friday,Single,No,No,No,80,Driver,Male,51,Inner Regional Australia,40_to_64,Day
Tas,2020,Thursday,Multiple,Yes,No,No,90,Driver,Male,42,Inner Regional Australia,40_to_64,Day
Qld,2020,Thursday,Single,No,No,No,60,Driver,Male,21,Inner Regional Australia,17_to_25,Night
NSW,2020,Monday,Multiple,No,No,No,70,Driver,Male,26,Major Cities of Australia,26_to_39,Night
Vic,2020,Friday,Single,No,No,No,60,Passenger,Female,85,Major Cities of Australia,75_or_older,Day
NSW,2020,Tuesday,Multiple,No,No,No,100,Driver,Male,50,Major Cities of Australia,40_to_64,Night
NSW,2020,Friday,Single,No,No,No,60,Driver,Female,26,Major Cities of Australia,26_to_39,Night
NSW,2020,Monday,Multiple,No,No,No,80,Driver,Male,43,Inner Regional Australia,40_to_64,Night
Qld,2020,Tuesday,Single,No,No,No,100,Passenger,Female,49,Remote Australia,40_to_64,Night
Vic,2020,Tuesday,Multiple,No,No,No,100,Passenger,Female,23,Outer Regional Australia,17_to_25,Day
NSW,2020,Wednesday,Single,No,No,No,100,Motorcycle rider,Male,78,Inner Regional Australia,75_or_older,Day
Vic,2020,Friday,Single,No,No,No,80,Driver,Male,81,Inner Regional Australia,75_or_older,Day
Qld,2020,Sunday,Single,No,No,No,50,Pedestrian,Female,1,Major Cities of Australia,0_to_16,Day
Vic,2020,Saturday,Single,No,No,No,60,Pedestrian,Female,83,Outer Regional Australia,75_or_older,Day
NSW,2020,Saturday,Single,No,No,Yes,60,Pedestrian,Male,70,Inner Regional Australia,65_to_74,Night
NSW,2020,Saturday,Single,No,No,No,50,Passenger,Male,19,Major Cities of Australia,17_to_25,Night
NSW,2020,Sunday,Single,No,No,No,60,Driver,Male,33,Inner Regional Australia,26_to_39,Night
SA,2020,Wednesday,Multiple,No,No,No,110,Driver,Male,47,Inner Regional Australia,40_to_64,Night
Qld,2020,Sunday,Single,No,No,No,100,Motorcycle rider,Male,63,Outer Regional Australia,40_to_64,Night
SA,2020,Sunday,Single,No,No,No,90,Driver,Male,21,Major Cities of Australia,17_to_25,Day
Qld,2020,Saturday,Single,No,No,No,100,Driver,Male,40,Outer Regional Australia,40_to_64,Night
SA,2020,Sunday,Multiple,No,No,Yes,110,Driver,Male,42,Outer Regional Australia,40_to_64,Night
NSW,2020,Saturday,Single,No,No,No,100,Driver,Male,72,Outer Regional Australia,65_to_74,Day
NSW,2020,Saturday,Single,No,No,No,100,Passenger,Male,14,Outer Regional Australia,0_to_16,Day
NSW,2020,Saturday,Single,No,No,No,100,Passenger,Male,25,Outer Regional Australia,17_to_25,Day
SA,2020,Sunday,Single,No,No,No,80,Driver,Male,88,Inner Regional Australia,75_or_older,Day
NT,2020,Wednesday,Single,No,No,No,130,Passenger,Female,21,Very Remote Australia,17_to_25,Day
NSW,2020,Wednesday,Single,No,No,No,100,Driver,Female,24,Inner Regional Australia,17_to_25,Day
NSW,2020,Friday,Multiple,No,Yes,No,100,Driver,Male,35,Outer Regional Australia,26_to_39,Night
SA,2020,Tuesday,Multiple,No,No,No,110,Driver,Male,60,Remote Australia,40_to_64,Day
Vic,2020,Thursday,Multiple,No,No,No,100,Driver,Male,49,Outer Regional Australia,40_to_64,Day
Qld,2020,Friday,Multiple,No,No,No,100,Driver,Female,51,Inner Regional Australia,40_to_64,Day
Vic,2020,Thursday,Multiple,No,No,No,60,Motorcycle rider,Male,52,Major Cities of Australia,40_to_64,Day
Vic,2020,Wednesday,Single,No,No,No,100,Passenger,Male,17,Inner Regional Australia,17_to_25,Night
Vic,2020,Wednesday,Single,No,No,No,100,Driver,Male,18,Inner Regional Australia,17_to_25,Night
NSW,2020,Friday,Single,No,No,No,100,Motorcycle rider,Male,40,Inner Regional Australia,40_to_64,Day
Tas,2020,Monday,Multiple,No,No,No,110,Driver,Female,28,Outer Regional Australia,26_to_39,Night
NSW,2020,Thursday,Single,No,No,No,60,Driver,Male,47,Major Cities of Australia,40_to_64,Night
NSW,2020,Friday,Single,No,No,No,70,Driver,Male,78,Major Cities of Australia,75_or_older,Day
Qld,2020,Friday,Multiple,No,No,Yes,110,Driver,Male,18,Outer Regional Australia,17_to_25,Day
SA,2020,Wednesday,Single,No,No,No,100,Passenger,Male,19,Outer Regional Australia,17_to_25,Day
Vic,2020,Thursday,Single,No,No,No,100,Driver,Male,30,Outer Regional Australia,26_to_39,Day
NSW,2020,Tuesday,Multiple,No,No,No,80,Driver,Male,21,Inner Regional Australia,17_to_25,Night
Qld,2020,Thursday,Multiple,No,No,No,60,Driver,Male,36,Major Cities of Australia,26_to_39,Day
Qld,2020,Thursday,Single,No,No,No,50,Driver,Male,83,Inner Regional Australia,75_or_older,Day
NSW,2020,Monday,Multiple,No,Yes,No,100,Driver,Male,90,Inner Regional Australia,75_or_older,Day
NSW,2020,Tuesday,Multiple,No,No,No,100,Driver,Male,28,Inner Regional Australia,26_to_39,Day
SA,2020,Wednesday,Multiple,No,Yes,No,60,Motorcycle rider,Male,18,Major Cities of Australia,17_to_25,Day
Qld,2020,Tuesday,Single,No,No,No,60,Driver,Male,59,Inner Regional Australia,40_to_64,Day
Qld,2020,Monday,Single,No,No,No,60,Pedestrian,Male,63,Inner Regional Australia,40_to_64,Night
NSW,2020,Wednesday,Single,Yes,No,No,40,Pedestrian,Female,14,Inner Regional Australia,0_to_16,Day
Qld,2020,Wednesday,Single,No,No,No,100,Driver,Male,32,Inner Regional Australia,26_to_39,Night
Vic,2020,Thursday,Multiple,No,Yes,No,80,Motorcycle rider,Male,33,Major Cities of Australia,26_to_39,Night
NSW,2020,Saturday,Multiple,No,No,No,50,Pedestrian,Female,62,Major Cities of Australia,40_to_64,Day
NSW,2020,Saturday,Multiple,No,No,No,50,Pedestrian,Female,85,Major Cities of Australia,75_or_older,Day
Qld,2020,Sunday,Multiple,Yes,No,No,60,Pedestrian,Male,38,Major Cities of Australia,26_to_39,Night
NSW,2020,Friday,Multiple,No,Yes,Yes,110,Pedestrian,Female,8,Major Cities of Australia,0_to_16,Day
Qld,2020,Sunday,Single,No,No,No,100,Passenger,Male,16,Very Remote Australia,0_to_16,Night
Vic,2020,Saturday,Single,No,No,No,60,Motorcycle rider,Male,24,Inner Regional Australia,17_to_25,Night
NT,2020,Friday,Single,No,No,No,80,Driver,Female,48,Very Remote Australia,40_to_64,Night
SA,2020,Friday,Multiple,No,No,No,90,Driver,Female,31,Major Cities of Australia,26_to_39,Night
NT,2020,Friday,Single,No,No,No,130,Passenger,Female,38,Remote Australia,26_to_39,Night
Vic,2020,Saturday,Single,No,No,No,60,Driver,Male,33,Outer Regional Australia,26_to_39,Night
Qld,2020,Sunday,Single,No,No,No,80,Driver,Male,29,Remote Australia,26_to_39,Day
Qld,2020,Saturday,Multiple,No,No,No,80,Passenger,Male,20,Major Cities of Australia,17_to_25,Day
Qld,2020,Saturday,Multiple,No,No,No,80,Driver,Female,22,Major Cities of Australia,17_to_25,Day
NSW,2020,Sunday,Multiple,No,No,No,60,Motorcycle pillion passenger,Female,41,Major Cities of Australia,40_to_64,Day
SA,2020,Saturday,Single,No,No,No,100,Driver,Male,87,Outer Regional Australia,75_or_older,Day
NSW,2020,Sunday,Single,No,No,No,100,Motorcycle rider,Male,59,Outer Regional Australia,40_to_64,Day
Qld,2020,Saturday,Multiple,No,No,No,80,Passenger,Female,20,Major Cities of Australia,17_to_25,Day
Qld,2020,Saturday,Multiple,No,No,No,80,Passenger,Female,21,Major Cities of Australia,17_to_25,Day
Qld,2020,Saturday,Single,No,No,No,80,Motorcycle rider,Male,62,Very Remote Australia,40_to_64,Day
SA,2020,Wednesday,Multiple,No,Yes,No,110,Passenger,Female,2,Inner Regional Australia,0_to_16,Day
Qld,2020,Monday,Single,No,No,No,100,Driver,Male,18,Remote Australia,17_to_25,Day
NSW,2020,Tuesday,Single,No,No,No,80,Driver,Female,17,Inner Regional Australia,17_to_25,Day
NSW,2020,Saturday,Single,No,No,No,70,Driver,Male,30,Major Cities of Australia,26_to_39,Night
Qld,2020,Monday,Single,No,No,Yes,100,Driver,Male,38,Remote Australia,26_to_39,Day
Vic,2020,Friday,Single,No,No,No,100,Motorcycle rider,Male,60,Inner Regional Australia,40_to_64,Day
Tas,2020,Tuesday,Multiple,No,Yes,No,70,Driver,Female,41,Inner Regional Australia,40_to_64,Day
Qld,2020,Tuesday,Multiple,No,No,No,60,Pedal cyclist,Male,42,Major Cities of Australia,40_to_64,Day
NSW,2020,Monday,Single,No,Yes,No,100,Driver,Male,54,Outer Regional Australia,40_to_64,Day
